Year;Month;Day;Hour;Direct Inclined;Diffuse Inclined;Reflected;Global Inclined;Direct Horiz;Diffus Horiz;Global Horiz;Top of Atmosphere;;;
2004;2;1;0.25;0;0;0;0;0;0;0;0;;;0.25
2004;2;1;0.5;0;0;0;0;0;0;0;0;;;0.5
2004;2;1;0.75;0;0;0;0;0;0;0;0;;;0.75
2004;2;1;1;0;0;0;0;0;0;0;0;;;1
2004;2;1;1.25;0;0;0;0;0;0;0;0;;;1.25
2004;2;1;1.5;0;0;0;0;0;0;0;0;;;1.5
2004;2;1;1.75;0;0;0;0;0;0;0;0;;;1.75
2004;2;1;2;0;0;0;0;0;0;0;0;;;2
2004;2;1;2.25;0;0;0;0;0;0;0;0;;;2.25
2004;2;1;2.5;0;0;0;0;0;0;0;0;;;2.5
2004;2;1;2.75;0;0;0;0;0;0;0;0;;;2.75
2004;2;1;3;0;0;0;0;0;0;0;0;;;3
2004;2;1;3.25;0;0;0;0;0;0;0;0;;;3.25
2004;2;1;3.5;0;0;0;0;0;0;0;0;;;3.5
2004;2;1;3.75;0;0.1932;0.002;0.1951;0;0.2093;0.2093;0;;;3.75
2004;2;1;4;0.0701;2.3263;0.0244;2.4207;0.0867;2.513;2.5996;1.9364;;;4
2004;2;1;4.25;2.583;5.557;0.0616;8.2017;0.8805;5.6947;6.5752;19.7127;;;4.25
2004;2;1;4.5;15.2872;12.6703;0.1723;28.1298;7.3685;11.0218;18.3903;40.8243;;;4.5
2004;2;1;4.75;31.7425;17.1898;0.3049;49.2373;18.3104;14.2346;32.545;61.6595;;;4.75
2004;2;1;5;48.961;20.0888;0.4509;69.5007;31.5263;16.5951;48.1213;82.1293;;;5
2004;2;1;5.25;70.9134;20.9328;0.6199;92.4661;49.0132;17.146;66.1592;102.146;;;5.25
2004;2;1;5.5;93.8191;20.577;0.7961;115.1922;68.1424;16.8263;84.9688;121.6238;;;5.5
2004;2;1;5.75;107.7817;22.7984;0.9387;131.5188;81.2139;18.9715;100.1855;140.4794;;;5.75
2004;2;1;6;121.8376;24.7055;1.0799;147.623;94.4296;20.8285;115.2581;158.6319;;;6
2004;2;1;6.25;134.6986;26.7422;1.2136;162.6544;106.7272;22.8034;129.5306;176.0037;;;6.25
